"rep","flow","fao_group","max_scheda"
"175","2","4",1112
"175","2","5",1111
"175","2","8",111
"175","2","A",1110
"175","1","1",1165
"175","1","2",1126
"175","1","3",1145
"175","1","4",1136
"175","1","5",1119
"175","1","6",1112
"175","1","7",1112
"175","1","8",1111
"175","1","9",1111
"175","1","A",1110
"178","2","1",1182
"178","2","2",1147
"178","2","3",1142
"178","2","4",1123
"178","2","5",1114
"178","2","6",111
"178","1","1",1404
"178","1","2",1217
"178","1","3",1201
"178","1","4",1211
"178","1","5",1139
"178","1","6",1115
"178","1","7",1114
"178","1","8",1116
"178","1","9",1116
"178","1","A",1110
"180","2","1",111
"180","2","2",111
"180","1","1",1362
"180","1","2",1122
"180","1","3",1123
"180","1","4",1129
"180","1","5",1116
"180","1","6",1112
"180","1","7",111
"184","2","1",1121
"184","2","3",1112
"184","2","8",1125
"184","1","1",1141
"184","1","2",1121
"184","1","3",1124
"184","1","4",1116
"184","1","5",1115
"184","1","6",1111
"184","1","7",111
"184","1","8",1127
"184","1","9",1111
"184","1","A",1112
"188","2","1",1279
"188","2","2",1136
"188","2","3",1264
"188","2","4",1141
"188","2","5",1119
"188","2","6",1115
"188","2","7",1112
"188","2","9",1114
"188","2","A",1112
"188","1","1",1297
"188","1","2",1138
"188","1","3",1284
"188","1","4",1155
"188","1","5",1155
"188","1","6",1119
"188","1","7",1112
"188","1","8",1111
"188","1","9",1118
"188","1","A",1112
"191","2","1",1542
"191","2","2",1153
"191","2","3",1292
"191","2","4",1165
"191","2","5",1136
"191","2","6",1119
"191","2","7",1112
"191","2","8",1119
"191","2","9",1115
"191","2","A",1112
"191","1","1",1637
"191","1","2",1167
"191","1","3",1307
"191","1","4",1175
"191","1","5",1146
"191","1","6",1121
"191","1","7",1112
"191","1","8",1117
"191","1","9",1117
"191","1","A",1113
"192","2","1",1135
"192","2","2",1113
"192","2","3",1124
"192","2","4",1115
"192","2","5",1112
"192","2","6",111
"192","2","7",111
"192","2","8",1112
"192","2","9",111
"192","1","1",1152
"192","1","2",1121
"192","1","3",1131
"192","1","4",1119
"192","1","5",1114
"192","1","6",1113
"192","1","7",1111
"192","1","8",1111
"192","1","9",1111
"192","1","A",1111
"192","3","4",1111
"192","3","5",111
"196","2","1",1281
"196","2","2",1136
"196","2","3",1169
"196","2","4",1152
"196","2","5",1129
"196","2","6",1112
"196","2","7",1111
"196","2","8",1114
"196","2","9",1112
"196","2","A",1113
"196","1","1",1617
"196","1","2",1156
"196","1","3",1284
"196","1","4",1177
"196","1","5",1154
"196","1","6",1116
"196","1","7",1111
"196","1","8",1116
"196","1","9",1115
"196","1","A",1113
"196","3","1",1133
"196","3","2",1107
"196","3","3",1118
"196","3","4",1119
"196","3","5",1113
"196","3","6",111
"200","2","1",111
"200","2","4",111
"200","2","7",111
"200","1","1",111
"200","1","2",111
"200","1","4",111
"200","1","5",111
"200","1","6",111
"200","1","7",111
"203","2","1",1631
"203","2","2",1151
"203","2","3",1283
"203","2","4",1168
"203","2","5",1137
"203","2","6",1123
"203","2","7",1112
"203","2","8",1115
"203","2","9",1113
"203","2","A",1112
"203","1","1",1747
"203","1","2",1174
"203","1","3",1315
"203","1","4",1173
"203","1","5",1139
"203","1","6",1122
"203","1","7",1112
"203","1","8",1115
"203","1","9",1113
"203","1","A",1112
"204","2","1",1156
"204","2","2",1114
"204","2","3",1145
"204","2","4",1116
"204","2","5",1115
"204","2","7",111
"204","2","8",111
"204","2","9",1111
"204","2","A",1110
"204","1","1",1225
"204","1","2",1133
"204","1","3",1137
"204","1","4",1159
"204","1","5",1119
"204","1","6",1111
"204","1","7",1112
"204","1","8",1111
"204","1","9",1113
"204","1","A",1110
"204","3","1",111
"204","3","2",1114
"204","3","3",1111
"204","3","4",1112
"208","2","1",3461
"208","2","2",1429
"208","2","3",1792
"208","2","4",1563
"208","2","5",1295
"208","2","6",1112
"208","2","7",112
"208","2","8",1116
"208","2","9",1114
"208","2","A",1111
"208","1","1",13388
"208","1","2",11446
"208","1","3",11787
"208","1","4",11583
"208","1","5",11293
"208","1","6",11103
"208","1","7",1111
"208","1","8",1116
"208","1","9",1114
"208","1","A",1111
"212","2","1",1128
"212","2","3",111
"212","2","4",1111
"212","2","8",111
"212","2","9",111
"212","1","1",1228
"212","1","2",1162
"212","1","3",1166
"212","1","4",1175
"212","1","5",1122
"212","1","6",1114
"212","1","7",111
"212","1","8",1111
"212","1","9",1111
"212","1","A",1111
"212","3","1",1112
"212","3","2",1111
"212","3","4",1113
"214","2","1",1304
"214","2","2",1134
"214","2","3",1334
"214","2","4",1138
"214","2","5",1187
"214","2","6",1119
"214","2","7",1111
"214","2","8",1112
"214","2","9",1112
"214","1","1",1523
"214","1","2",1329
"214","1","3",1279
"214","1","4",1324
"214","1","5",1221
"214","1","6",1159
"214","1","7",1119
"214","1","8",1115
"214","1","9",1117
"214","1","A",1114
"218","2","1",1345
"218","2","2",1167
"218","2","3",1259
"218","2","4",1268
"218","2","5",1133
"218","2","6",1117
"218","2","7",1115
"218","2","8",1111
"218","2","9",1113
"218","2","A",1112
"218","1","1",1231
"218","1","2",1132
"218","1","3",1185
"218","1","4",1132
"218","1","5",1125
"218","1","6",1123
"218","1","7",1114
"218","1","8",1111
"218","1","9",1113
"218","1","A",1113
"222","2","1",1205
"222","2","2",1127
"222","2","3",1165
"222","2","4",1124
"222","2","5",1119
"222","2","6",1112
"222","2","7",1111
"222","2","8",1112
